stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,_loaded_at_utc
NYC FLEET / DEP_ARKVLE_1_L3,669 County Road 38,Arkville,New York,12406,42.156950786398,-74.619975564413,Level 3,Level 3 - Public Stations,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Charging,1,1,0,0,2026-02-03T18:27:52Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DPR_RANDALLS#1,126 Hell Gate Circle,New York,New York,10035,40.787133733839,-73.929323423996,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:31:04Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DPR_HIGHBRPOOL1,2301 Amsterdam Avenue,New York,New York,10033,40.842149915617,-73.9341298239,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:23:25Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOE_KNGHWY197#1,1599 E 22nd St,Brooklyn,New York,11210,40.61243641083861,-73.95151562513122,Level 2,Level 2,CPF50-L18,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-09-29T14:58:51Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DOE_BXPS14#1,3047 Bruckner Blvd,The Bronx,New York,10461,40.83570141348234,-73.82593167116394,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:32:55Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / NYCHA_LEX-S1,1774 3rd Ave,New York,New York,10029,40.7869486,-73.9484263,Level 2,Level 2 - Solar,CT4010-HD2-GW-LTE,Unreachable,UNREACHABLE,NONE,Available,1,0,0,1,2025-12-07T03:49:06Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DPR_ARAMRK_1_L3,850 East 138th Street,The Bronx,New York,10454,40.803045814166,-73.909490508517,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:30:35Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DPR_ARAMRK_2_L3,850 East 138th Street,The Bronx,New York,10454,40.803108847796,-73.909556455292,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:23:19Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_26WRDP_4_L3,12266 Flatlands Avenue,Brooklyn,New York,11207,40.653756247066,-73.880328113408,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:23:33Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_PTJRVS_1_L3,46 North Maple Avenue,Port Jervis,New York,12771,41.362271732934,-74.681787282719,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:30:40Z,2026-02-03T18:33:15.790551+00:00
